children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__colname,name
,Substance abuse behavioral disorder and mental health counselors,319.39999,17,9,40,low,very low,low to medium,,
,Substitute teachers short-term,619.40002,,,,,,,,
,Surveyors    * City Surveyor* County Surveyor* Geodetic Surveyor* Geophysical Prospecting Surveyor* Land Surveyor* Mine Surveyor* Mineral Surveyor* Registered Land Surveyor* Topographical Surveyor,48,80,54,84,high,medium to high,very high,,
,Tax examiners and collectors and revenue agents    * City Collector* Customs Appraiser* Income Tax Adjuster* Internal Revenue Agent* Internal Revenue Service Agent* Revenue Collector* Revenue Enforcement Agent* Tax Compliance Officer* Tax Compliance Representative* Tax Examiner* Tax Investigator* Tax Revenue Officer,57.599998,13,12,48,very low,very low,low to medium,,
,Teaching assistants postsecondary,169.60001,7,33,7,very low,low,very low,,
,Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Medical Writer* Specifications Writer* Technical Communicator* Technical Writer,58.400002,38,18,80,low to medium,low,high,,
,Therapists all other    * Art Therapist* Auriculotherapist* Educational Therapist* Hydrotherapist* Music Therapist* Peripatologist,32.599998,50.285713,35.285713,70,50.285713,low to medium,high,,
,Training and development managers    * E-Learning Manager* Employee Development Director* Employee Development Manager* Labor Training Manager,42.299999,21,7,75,low,very low,high,,
,Training and development specialists    * Computer Training Specialist* Corporate Trainer* Employee Development Specialist* Job Training Specialist* Training Coordinator* Training Specialist* Workforce Development Specialist,327.89999,10,6,44,very low,very low,low to medium,,
,Tutors and teachers and instructors all other,406.20001,37,34,55,low to medium,low to medium,medium to high,,
,Writers and authors    * Advertising Copy Writer* Advertising Copywriter* Author* Biographer* Copy Writer* Copywriter* Lyricist* Novelist* Playwright* Poet* Program Writer* Radio Script Writer* Screen Writer* Short Story Writer* Song Lyricist* Television Writer* Verse Writer,131.2,5,2,23,very low,very low,low,,
,Zoologists and wildlife biologists    * Aquatic Biologist* Entomologist* Fish Culturist* Fishery Biologist* Herpetologist* Ichthyologist* Lepidopterist* Marine Biologist* Migratory Game Bird Biologist* Ornithologist* Protozoologist* Wildlife Biologist,21,62,52,82,medium to high,medium to high,high,,
Doctoral or professional degree,Administrative law judges adjudicators and hearing officers    * Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice of The Peace* Traffic Court Referee,15.4,40,16,79,low to medium,very low,high,level2,
,Agricultural sciences teachers postsecondary    * Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture and Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor,11.4,1,3,1,very low,very low,very low,,
,Anesthesiologists,33.799999,,,,,,,,
,Anthropology and archeology teachers postsecondary    * Cultural Anthropology Professor* Ethnoarchaeology Professor* Near East Archeology Professor* Paleology Professor* Sociocultural Anthropology Professor,7.1999998,1,3,1,very low,very low,very low,,
,Architecture teachers postsecondary    * Architectural Design Professor* Architecture Professor* Interior Design Professor* Landscape Architecture Professor,8.5,1,3,1,very low,very low,very low,,
,Area ethnic and cultural studies teachers postsecondary    * African Studies Professor* Asian Studies Professor* Black Studies Professor* Ethnology Professor* Gender Studies Professor* Latin American Studies Professor* Women's Studies Professor,13.4,1,3,1,very low,very low,very low,,
,Astronomers    * Astronomer* Astrophysicist,2.3,75,54,100,high,medium to high,very high,,
,Atmospheric earth marine and space sciences teachers postsecondary    * Climatology Professor* Earth Science Professor* Geology Professor* Geoscience Professor* Meteorology Professor* Mineralogy Professor* Oceanic Sciences Professor* Oceanography Professor* Volcanology Professor,13.1,1,3,1,very low,very low,very low,,
,Audiologists    * Audiologist* Clinical Audiologist* Dispensing Audiologist* Educational Audiologist* Hearing Therapist* Licensed Audiologist* Pediatric Audiologist,13.8,59,25,59,medium to high,low,medium to high,,
,Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist,34.599998,62,52,82,medium to high,medium to high,high,,
,Biological science teachers postsecondary    * Anatomy Professor* Bacteriology Professor* Biochemistry Professor* Botany Professor* Embryology Professor* Microbiology Professor* Zoology Professor,64.699997,1,3,1,very low,very low,very low,,
,Business teachers postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor,105.1,1,3,1,very low,very low,very low,,
,Chemistry teachers postsecondary    * Chemistry Professor* Inorganic Chemistry Professor* Organic Chemistry Professor* Physical Chemistry Professor* Phytochemistry Professor,26.4,1,3,1,very low,very low,very low,,
,Chiropractors    * Chiropractic Doctor* Chiropractic Physician* Chiropractor,51.099998,8,16,28,very low,very low,low,,
,Clinical counseling and school psychologists    * Child Psychologist* Child Psychometrist* Clinical Psychologist* Eating Disorder Psychologist* Educational Psychologist* Geropsychologist* Pediatric Psychologist* School Psychologist* School Psychometrist* Vocational Psychologist,171.5,30,11,85,low,very low,very high,,
,Communications teachers postsecondary    * Interpersonal Communications Professor* Journalism Professor* Media Arts Professor* Professor of Communication and Writing* Professor of Rhetoric* Public Speaking Professor* Speech Professor,35.599998,1,3,1,very low,very low,very low,,
,Computer science teachers postsecondary    * C++ Professor* Computer Information Systems Professor* Computer Programming Professor* IT Professor* Information Systems Professor* Information Technology Professor* Java Programming Professor,38.5,1,3,1,very low,very low,very low,,
,Criminal justice and law enforcement teachers postsecondary    * Criminal Justice Professor* Criminology Professor* Penology Professor,16.799999,1,3,1,very low,very low,very low,,
,Dentists all other specialists    * Endodontist* Maxillofacial Pathology* Oral Pathologist* Pediatric Dentist* Pedodontist* Periodontist* Public Health Dentist,6.1999998,84,62,54,very high,medium to high,medium to high,,
,Dentists general    * Family Dentist,132.10001,84,62,54,very high,medium to high,medium to high,,
,Economics teachers postsecondary    * Agricultural Economics Professor* Econometrics Professor* Industrial Economics Professor* Labor Economics Professor* Macroeconomics Professor* Microeconomics Professor,16.799999,1,3,1,very low,very low,very low,,
,Education teachers postsecondary    * Counselor Education Professor* Literacy Education Professor* Mathematics Education Professor* Primary Education Professor* Science Education Professor* Secondary Education Professor* Special Education Professor,77.300003,1,3,1,very low,very low,very low,,
,Engineering teachers postsecondary    * Aeronautical Engineering Professor* Ceramic Engineering Professor* Chemical Engineering Professor* Civil Engineering Professor* Electrical Engineering Professor* Electronics Engineering Professor* Industrial Engineering Professor* Manufacturing Engineering Professor* Marine Engineering Professor* Mechanical Engineering Professor* Petroleum Engineering Professor,44.599998,1,3,1,very low,very low,very low,,
,English language and literature teachers postsecondary    * Children's Literature Professor* Composition Professor* Contemporary English Literature Professor* Creative Writing English Professor* Etymology Professor* Medieval English Literature Professor* Seventeenth-Century English Literature Professor* Victorian Literature Professor,81.300003,1,3,1,very low,very low,very low,,
,Environmental science teachers postsecondary    * Environmental Science Professor* Environmental Science Management and Policy Professor* Environmental Studies Professor,7.5999999,1,3,1,very low,very low,very low,,
,Family medicine physicians,119.3,,,,,,,,
,Foreign language and literature teachers postsecondary    * Arabic Professor* Biblical Languages Professor* Chinese Language Professor* French Professor* German Professor* Greek Professor* Hebrew Professor* Japanese Professor* Russian Language Professor* Spanish Literature Professor,30.6,1,3,1,very low,very low,very low,,
,Forestry and conservation science teachers postsecondary    * Ecology Professor* Environmental Conservation Professor* Forest Biometrics Professor* Forest Ecology Professor* Forest Management Professor* Forest Pathology Professor* Forest Resources Professor* Forest Technology Professor* Silviculture Professor* Timber Management Professor* Wildlife Conservation Professor,2.0999999,1,3,1,very low,very low,very low,,
,General internal medicine physicians,49.5,,,,,,,,
,Geography teachers postsecondary    * Cartography Professor* GIS Professor* Geographic Information Systems Professor* Geomatics Professor,4.8000002,1,3,1,very low,very low,very low,,
,Health specialties teachers postsecondary    * Clinical Laboratory Science Professor* Clinical Sciences Professor* Dentistry Professor* Gastroenterology Professor* Neurology Professor* Nutrition Professor* Occupational Therapy Professor* Optometry Professor* Pharmacology Professor* Physical Therapy Professor* Podiatric Medicine Professor* Podiatry Professor* Public Health Professor,254,1,3,1,very low,very low,very low,,
,History teachers postsecondary    * African History Professor* American History Professor* Historiography Professor* Jewish History Professor* Russian History Professor* South Asian History Professor,26,1,3,1,very low,very low,very low,,
,Judges magistrate judges and magistrates    * Administrative Court Justice* Circuit Court Judge* County Court Judge* Criminal Court Judge* District Court Judge* Jurist* Justice* Probate Judge* Trial Court Judge* Tribal Judge,29.9,40,16,79,low to medium,very low,high,,
,Judicial law clerks    * Judicial Clerk,17.299999,40,16,79,low to medium,very low,high,,
,Law teachers postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor,21.299999,1,3,1,very low,very low,very low,,
,Lawyers    * Agency Legal Counsel* Assistant Attorney General* Assistant Corporation Counsel* Assistant Counsel* Associate Attorney* Attorney* Attorney At Law* Attorney General* Brief Writer* City Attorney* Civil Lawyer* Commonwealth Attorney* Corporate Attorney* Corporate Counsel* Corporate Counselor* County Attorney* Defense Attorney* Deputy Attorney General* Deputy Chief Counsel* District Attorney* Environmental Attorney* Estate Conservator* General Counsel* Insurance Attorney* Lawyer* Legal Counsel* Probate Lawyer* Prosecutor* Public Defender* Real Estate Attorney* Sports Attorney* Tax Attorney* Trial Attorney* Trial Lawyer,813.90002,40,16,79,low to medium,very low,high,,
,Library science teachers postsecondary    * Library and Information Science Professor* Library and Information Technology Instructor* Medical Records Library Professor,5.4000001,1,3,1,very low,very low,very low,,
,Mathematical science teachers postsecondary    * Actuarial Science Professor* Biostatistics Professor* Calculus Professor* Geometry Professor* Mathematics Professor* Statistical Methods Professor* Statistics Professor* Topology Professor,60.099998,1,3,1,very low,very low,very low,,
,Medical scientists except epidemiologists    * Cancer Researcher* Clinical Pharmacologist* Clinical Research Scientist* Gerontologist* Histologist* Histopathologist* Immunochemist* Industrial Pharmacist* Medical Health Researcher* Medical Research Scientist* Medical Scientist* Neuroscientist* Pharmacologist* Serologist* Toxicologist,138.3,59,25,93,medium to high,low,very high,,
,Nursing instructors and teachers postsecondary    * Advanced Nursing Professor* Clinical Nursing Instructor* Clinical Nursing Professor* Registered Nursing Professor,72.900002,1,3,1,very low,very low,very low,,
,Obstetricians and gynecologists,20.299999,,,,,,,,
,Optometrists    * Doctor of Optometry* Optometrist,44.400002,66,64,100,medium to high,medium to high,very high,,
,Oral and maxillofacial surgeons    * Dental Surgeon* Maxillofacial Surgeon* Oral Surgeon,5.5999999,84,62,54,very high,medium to high,medium to high,,
,Orthodontists    * Dentofacial Orthopedics Dentist* Invisible Braces Orthodontist* Orthodontist* Pediatric Orthodontist,7.1999998,84,62,54,very high,medium to high,medium to high,,
,Pediatricians general,32.5,,,,,,,,
,Pharmacists    * Apothecary* Clinical Pharmacist* Druggist* Hospital Pharmacist* Registered Pharmacist,321.70001,24,13,17,low,very low,low,,
,Philosophy and religion teachers postsecondary    * Biblical Studies Professor* Divinity Professor* Eastern Philosophy Professor* Old Testament Professor* Pastoral Ministries Professor* Religious Studies Professor* Theology Professor* Western Philosophy Professor,30.9,1,3,1,very low,very low,very low,,
,Physical therapists    * Cardiopulmonary Physical Therapist* Geriatric Physical Therapist* Orthopedic Physical Therapist* PT* Pediatric Physical Therapist* Physical Therapist* Physiotherapist* Pulmonary Physical Therapist* Sports Physical Therapist,258.20001,64,43,93,medium to high,low to medium,very high,,
,Physicians all other; and ophthalmologists except pediatric,429.5,,,,,,,,
,Physicists    * Fluid Dynamicist* Health Physicist* Mathematical Physicist* Medical Physicist* Molecular Physicist* Nuclear Physicist* Optical Scientist* Research Physicist* Rheologist* Thermodynamic Physicist* Thermodynamicist,18.200001,75,54,100,high,medium to high,very high,,
,Physics teachers postsecondary    * Aerodynamics Professor* Astrophysics Professor* Atomic Physics Professor* Ballistics Professor* Hydrodynamics Professor* Medical Physics Professor* Nuclear Physics Professor* Physical Science Professor* Thermodynamics Professor,17.1,1,3,1,very low,very low,very low,,
,Podiatrists    * Chiropodist* Doctor of Podiatric Medicine* Foot Doctor* Foot Orthopedist* Foot and Ankle Surgeon* Orthopedic Podiatrist* Podiatric Physician,10.5,1,4,26,very low,very low,low,,
,Political science teachers postsecondary    * Government Professor* International Relations Professor* Political Theory Professor* Public Policy Professor,19.799999,1,3,1,very low,very low,very low,,
,Postsecondary teachers all other    * Braille Teacher* Flight Simulator Teacher* Interdisciplinary Professor* Military Science Teacher* Project Management Professor,245.89999,1,3,1,very low,very low,very low,,
,Prosthodontists    * Maxillofacial Prosthetics Dentist* Maxillofacial Prosthodontist* Prosthodontist* Reconstructive Dentist,.60000002,84,62,54,very high,medium to high,medium to high,,
,Psychiatrists,27.9,,,,,,,,
,Psychology teachers postsecondary    * Applied Psychology Professor* Child Development Professor* Clinical Psychology Professor* Educational Psychology Professor* Human Relations Professor* Industrial Psychology Professor* Industrial/Organizational Psychology Professor* Psychology Professor,46.799999,1,3,1,very low,very low,very low,,
,Recreation and fitness studies teachers postsecondary    * Health and Physical Education Professor* Human Performance Professor* Kinesiology Professor* Leisure Studies Professor* Physical Education (PE) Professor* Physical Education Professor* Swimming Professor,19.1,1,3,1,very low,very low,very low,,
,Social sciences teachers postsecondary all other    * Social Science Professor* Survey Research Professor* Urban Planning Professor,19.299999,1,3,1,very low,very low,very low,,
,Social work teachers postsecondary    * Family Welfare Social Work Professor* Geriatric Social Work Professor* Health Social Work Professor* Social Work Professor,17.299999,1,3,1,very low,very low,very low,,
,Sociology teachers postsecondary    * Comparative Sociology Professor* Race Relations Professor* Social Organization Professor,17,1,3,1,very low,very low,very low,,
,Surgeons except ophthalmologists,39.599998,,,,,,,,
,Veterinarians    * Animal Pathologist* Animal Surgeon* Doctor of Veterinary Medicine* Doctor of Veterinary Medicine (DVM)* Equine Veterinarian* Large Animal Veterinarian* Poultry Pathologist* Public Health Veterinarian* Small Animal Veterinarian* Veterinary Medicine Scientist* Wildlife Veterinarian,89.199997,70,59,85,high,medium to high,very high,,
High school diploma or equivalent,Adhesive bonding machine operators and tenders    * Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator,14,50,60,84,low to medium,medium to high,very high,level2,
,Advertising sales agents    * Advertising Account Executive* Advertising Agent* Advertising Solicitor* Display Advertising Sales Representative* Inside Sales Advertising Executive* Outside Sales Advertising Executive* Radio Time Salesperson* Signs and Displays Salesperson* Yellow Pages Space Salesperson,139.2,6,6,16,very low,very low,very low,,
,Aircraft cargo handling supervisors,9.6000004,,,,,,,,
,Aircraft service attendants and transportation workers all other,35.799999,,,,,,,,
,Aircraft structure surfaces rigging and systems assemblers    * Aircraft De-Icer Installer* Aircraft Fuselage Framer* Aircraft Layout Worker* Aircraft Line Assembler* Aircraft Part Assembler* Aircraft Riveter* Aircraft Sheet Metal Mechanic* Helicopter Airframe Mechanic* Propeller Layout Worker* Wing Coverer,43.900002,72,72,55,high,high,medium to high,,
,Airfield operations specialists    * Aviation Operations Specialist* Flight Operations Coordinator,10.9,62,33,29,medium to high,low,low,,
,Ambulance drivers and attendants except emergency medical technicians    * Ambulance Attendant* Emergency Medical Services (EMS) Driver* Emergency Medical Services Driver,14.9,62,79,14,medium to high,high,very low,,
,Animal breeders    * Animal Breeder* Cat Breeder* Dairy Husbandry Worker* Dog Breeder* Equine Breeder* Horse Breeder* Livestock Breeder* Poultry Inseminator* Stallion Manager,8.3999996,97,93,93,very high,very high,very high,,
,Animal caretakers    * Animal Care Giver* Animal Care Technician* Animal Caregiver* Animal Daycare Provider* Animal Groomer* Animal Shelter Worker* Animal Sitter* Aquarist* Aquarium Tank Attendant* Cat and Dog Bather* Dog Bather* Dog Beautician* Dog Groomer* Dog Sitter* Horse Exerciser* Kennel Aide* Kennel Attendant* Kennel Helper* Kennel Worker* Pet Feeder* Pet Groomer* Pet Sitter* Pet Stylist* Zookeeper,300.70001,7,60,1,very low,medium to high,very low,,
,Animal control workers    * Animal Control Officer* Animal Cruelty Investigator* Animal Treatment Investigator* Animal Warden* Dog Catcher* Dog Warden* Humane Officer,13.9,20,75,46,low,high,low to medium,,
,Animal trainers    * Animal Trainer* Dog Handler* Dog Trainer* Dolphin Trainer* Guide Dog Instructor* Guide Dog Mobility Instructor* Guide Dog Trainer* Horse Breaker* Licensed Guide Dog Instructor* Lion Trainer* Marine Mammal Trainer* Seeing Eye Dog Trainer,50.200001,97,93,93,very high,very high,very high,,
,Automotive body and related repairers    * Auto Body Customizer* Auto Body Technician* Auto Body Worker* Auto Bumper Straightener* Body Shop Worker* Body and Frame Technician* Car Refinisher* Truck Body Repairer* Vehicle Body Sander,155.5,17,69,21,low,high,low,,
,Automotive glass installers and repairers    * Auto Glass Installer* Auto Glass Mechanic* Automotive Glass Technician* Automotive Glazier* Windshield Installer* Windshield Repair Technician,24.299999,17,69,21,low,high,low,,
,Baggage porters and bellhops    * Baggage Porter* Bell Staff* Bellperson* Bellstaff* Hotel Baggage Handler* Luggage Attendant* Redcap* Skycap,40.599998,91,84,14,very high,very high,very low,,
,Bailiffs    * Bailiff* City Bailiff* County Bailiff* Court Bailiff* Court Officer* Court Security Officer* Deputy Bailiff,20.299999,59,54,28,medium to high,medium to high,low,,
,Bicycle repairers    * Bicycle Mechanic* Bicycle Repairer* Bicycle Service Technician* Bike Mechanic,13.2,26,81,25,low,high,low,,
,Bill and account collectors    * Accounts Collector* Bill Collector* Billing Representative* Collection Agent* Collections Clerk* Collections Representative* Debt Collector* Installment Agent* Installment Loan Collector* Insurance Collector* Payment Collector* Repossessor,238.89999,2,2,9,very low,very low,very low,,
,Billing and posting clerks    * Billing Clerk* Invoice Clerk* Invoice Control Clerk* Patient Account Representative* Posting Clerk* Statement Clerk* Statement Distribution Clerk* Statement Processor,484.20001,13,18,28,very low,low,low,,
,Boilermakers    * Boiler Fitter* Boiler Installer* Boiler Mechanic* Boiler Setter* Boiler Tester* Boilermaker* Boilermaker Mechanic,15.9,24,91,21,low,very high,low,,
,Brickmasons and blockmasons    * Adobe Layer* Block Layer* Blockmason* Brick Chimney Builder* Brick Setter* Bricklayer* Brickmason* Brickmason Apprentice* Firebrick Layer* Furnace Mason* Pottery Kiln Builder* Refractory Bricklayer,81.900002,49,92,35,low to medium,very high,low to medium,,
,Bridge and lock tenders    * Bridge Operator* Bridge Tender* Dam Tender* Lighthouse Keeper* Lock and Dam Operator,3.3,98,93,93,very high,very high,very high,,
,Brokerage clerks    * Brokerage Clerk* Brokerage Purchase-and-Sale Clerk* Commodities Clerk* Dividend Clerk* Securities Clerk,48.599998,39,48,24,low to medium,low to medium,low,,
,Bus and truck mechanics and diesel engine specialists    * Biodiesel Engine Specialist* Diesel Engine Fitter* Diesel Service Technician* Marine Diesel Technician* School Bus Mechanic* Tractor Trailer Mechanic* Truck Engine Technician,281.29999,60,92,59,medium to high,very high,medium to high,,
,Bus drivers transit and intercity,223.39999,,,,,,,,
,Cabinetmakers and bench carpenters    * Cabinet Builder* Cabinetmaker* Marquetry Worker* Wood Furniture Assembler* Wood Working Assembler,112.2,44,66,20,low to medium,medium to high,low,,
,Camera and photographic equipment repairers    * Aircraft Photographic Equipment Repairer* Camera Machinist* Camera Repair Technician* Camera Repairer* Photographic Equipment Technician,4.1999998,39,67,46,low to medium,high,low to medium,,
,Cargo and freight agents    * Cargo Agent* Cargo Router* Freight Agent* Freight Shipping Agent* Ramp Service Agent,97.199997,79,37,77,high,low to medium,high,,
,Carpenters    * Beam Builder* Building Carpenter* Construction Carpenter* Counter Installer* Custom Wood Stair Builder* Finish Carpenter* Hardwood Floor Installer* House Carpenter* Wood Floor Layer,1024.1,82,77,85,high,high,very high,,
,Chefs and head cooks    * Banquet Chef* Chef De Cuisine* Chef De Froid* Executive Chef* Head Chef* Kitchen Chef* Master Chef* Pastry Chef* Sous Chef* Sushi Chef,148.7,9,62,21,very low,medium to high,low,,
,Chemical equipment operators and tenders    * Acid Purification Equipment Operator* Chemical Machine Tender* Chemical Process Equipment Operator* Chemical Processor* Chemical Treatment Operator,88.5,96,69,80,very high,high,high,,
,Chemical plant and system operators    * Chemical Plant Operator* Chemical Treatment Plant Technician* Nitric Acid Plant Operator* Nitrogen Operator* Pharmaceutical Manufacturing Machine Operator,29.200001,98,80,92,very high,high,very high,,
,Childcare workers    * Au Pair* Baby Sitter* Before and After School Daycare Worker* Childcare Aide* Childcare Attendant* Childcare Worker* Day Care Attendant* Day Care Worker* Daycare Aide* Daycare Provider* Governess* Nanny* Nursery Day Care Worker* Playground Aide,1146.4,38,53,25,low to medium,medium to high,low,,
,Choreographers    * Choreographer* Dance Director* Dance Master,5.5,5,16,14,very low,very low,very low,,
,Claims adjusters examiners and investigators    * Claims Analyst* Fire Claims Adjuster* Health Claims Examiner* Health Insurance Adjuster* Independent Insurance Adjuster* Medical Claims Analyst* Medical Claims Examiner* Property Damage Claims Adjustor* Property and Casualty Insurance Claims Examiner* Reinsurance Claims Analyst* Workers Compensation Claims Adjuster* Workers Compensation Claims Examiner,332.89999,44,18,53,low to medium,low,medium to high,,
,Cleaning washing and metal pickling equipment operators and tenders    * Acid Dipper* Bottle Washing Machine Operator* Degreaser Operator* Glass Cleaning Machine Tender* Immersion Metal Cleaner* Metal Pickling Equipment Operator* Pickle House Operator,16.299999,99,67,93,very high,high,very high,,
,Coating painting and spraying machine setters operators and tenders,151.39999,84,92,76,very high,very high,high,,
,Coil winders tapers and finishers    * Coil Builder* Coil Former* Coil Winder* Motor Rewinder* Motor Winder* Multiple Coil Winder* Rotor Coil Taper* Wire Coiler* Wire Winder* Wire Winding Machine Tender,13,72,72,55,high,high,medium to high,,
,Coin vending and amusement machine servicers and repairers    * Arcade Games Mechanic* Coin Box Collector* Juke Box Mechanic* Parking Meter Collector* Slot Machine Mechanic* Slot Technician* Stamp Machine Servicer* Vending Machine Filler,37,91,84,57,very high,very high,medium to high,,
,Commercial pilots    * Aerial Crop Duster* Aerial Hurricane Hunter* Aerial Sprayer* Agricultural Pilot* Air Ambulance Captain* Air Tour Pilot* Balloon Pilot* Charter Pilot (Commercial Pilot Certificate Required)* Charter Pilot (Commercial)* Commercial Helicopter Pilot* Corporate Pilot* EMS Helicopter Pilot* Emergency Medical Service Helicopter Pilot* Emergency Medical Service Rotary Wing Pilot* Executive Pilot* Flight Instructor (Commercial Pilots)* Helicopter Pilot,41.599998,66,59,80,medium to high,medium to high,high,,
,Communications equipment operators all other    * Communications Equipment Operator* Facsimile Machine Operator* Fax Machine Operator* Telegraph and Teletype Operator* Telex Operator,3.5999999,,,,,,,,
,Community health workers    * CHW* Community Health Advisor* Community Health Representative* Community Health Worker* Lay Health Advocate* Peer Health Promoter* Promotor(a),64.900002,5,9,21,very low,very low,low,,
,Computer numerically controlled tool operators,152.39999,,,,,,,,
,Concierges    * Activities Concierge* Club Concierge* Concierge* Conference Concierge* Guest Service Supervisor* Hotel Concierge* Hotel Guest Service Agent,42.599998,91,84,14,very high,very high,very low,,
,Construction and building inspectors    * Architectural Inspector* Bridge Inspector* Building Code Inspector* Building Inspector* Construction Inspector* Electrical Inspector* Elevator Inspector* Highway Inspector* Home Inspector* Plumbing Inspector* Public Works Inspector* Residential Building Inspector,120.8,85,84,100,very high,very high,very high,,
,Control and valve installers and repairers except mechanical door    * Air Valve Mechanic* Electric Meter Installer* Gas Meter Installer* Gas Meter Mechanic* Thermostat Repairer* Valve Mechanic* Water Meter Installer,53.099998,65,66,46,medium to high,medium to high,low to medium,,
,Cooling and freezing equipment operators and tenders    * Ammonia Refrigeration Worker* Chiller Operator* Chiller Tender* Freezer Operator* Refrigerating Machine Operator* Refrigeration Operator,9.3999996,88,89,64,very high,very high,medium to high,,
,Correctional officers and jailers    * Certified Detention Deputy* Convict Guard* Correction Officer* Correctional Guard* Correctional Sergeant* Detention Deputy* Detention Officer* Jail Guard* Juvenile Corrections Officer* Penal Officer* Prison Guard* Prison Officer,442,59,54,28,medium to high,medium to high,low,,
,Correspondence clerks    * Claims Correspondence Clerk* Correspondence Clerk* Correspondence Representative* Correspondence Transcriber* Customer Service Correspondence Clerk* Fan Mail Editor* Medicare Correspondence Representative* Student Loan Correspondent,6.8000002,2,1,2,very low,very low,very low,,
,Costume attendants    * Costume Attendant* Theatrical Wardrobe Attendant* Theatrical Wardrobe Dresser* Wardrobe Assistant* Wardrobe Attendant* Wardrobe Custodian* Wardrobe Dresser* Wardrobe Supervisor,7.6999998,70,80,40,high,high,low to medium,,
,Couriers and messengers    * Bank Courier* Bicycle Messenger* Courier* Court Messenger* Laboratory Courier* Office Messenger* Office Runner,121.8,30,68,13,low,high,very low,,
,Court municipal and license clerks    * Circuit Court Clerk* City Clerk* Court Clerk* Courtroom Clerk* Deputy Court Clerk* Docket Clerk* Dog Licenser* License Clerk* Motor Vehicle License Clerk* Motor Vehicle Representative* Municipal Clerk* Tax Clerk* Township Clerk* Warrant Clerk,163.7,26,33,21,low,low,low,,
,Crane and tower operators    * Boom Crane Operator* Bridge Crane Operator* Cherry Picker Operator* Coal Tower Operator* Electric Crane Operator* Erecting Crane Operator* Monorail Crane Operator* Overhead Crane Operator* Port Crane Operator* Radio Control Crane Operator* Scrap Crane Operator* Tower Loader Operator* Woodyard Crane Operator,45.700001,98,96,89,very high,very high,very high,,
,Credit authorizers checkers and clerks    * Charge Authorizer* Commercial Credit Reviewer* Credit Authorizer* Credit Charge Authorizer* Credit Checker* Credit Investigator* Credit Processor* Credit Rating Checker* Credit Reference Clerk* Credit Report Checker,26.9,7,6,14,very low,very low,very low,,
,Crematory operators and personal care and service workers all other,111.3,,,,,,,,
,Crushing grinding and polishing machine setters operators and tenders    * Beveling and Edging Machine Operator* Beveller Operator* Blanchard Grinder Operator* Crusher Plant Operator* Cullet Crusher and Washer* Industrial Coffee Grinder* Marble and Granite Polisher* Mix Crusher Operator* Pulverizer Operator,35.299999,92,66,33,very high,medium to high,low,,
,Customer service representatives    * Complaint Clerk* Contact Center Specialist* Customer Complaint Clerk* Customer Contact Specialist* Customer Relations Representative* Customer Support Representative* Gas Distribution and Emergency Clerk* Passenger Relations Representative* Policyholder Information Clerk* Warranty Clerk,3018.8,38,10,42,low to medium,very low,low to medium,,
,Cutting and slicing machine setters operators and tenders    * Dog Food Shredder Operator* Glass Cutting Machine Operator* Insulation Cutter* Paper Cutter* Paper Slitter* Rubber Trimmer* Shearing Machine Tender* Trimming Operator,59.799999,62,78,52,medium to high,high,medium to high,,
,Cutting punching and press machine setters operators and tenders metal and plastic    * Crimping Machine Operator for Metal* Four Slide Machine Setter* Metal Punch Press Operator* Metal Slitter* Metal Stamper,195.7,72,77,80,high,high,high,,
,Data entry keyers    * Customs Entry Clerk* Data Entry Clerk* Data Input Clerk* Data Keyer* Data Processing Clerk* Data Typist* Key Punch Operator* Keypunch Operator* Keypuncher,172.39999,63,60,94,medium to high,medium to high,very high,,
,Dental laboratory technicians    * Crown Ceramist* Crown and Bridge Dental Lab Technician* Crown and Bridge Technician* Dental Ceramist* Dental Laboratory Worker* Dental Mold Maker* Dental Technician* Orthodontic Technician,36.200001,87,91,81,very high,very high,high,,
,Detectives and criminal investigators    * Criminal Investigator* Deputy United States Marshal* FBI Investigator* Homicide Detective* Narcotics Detective* Narcotics Investigator* Police Detective,113.5,63,38,77,medium to high,low to medium,high,,
,Dispatchers except police fire and ambulance    * Airplane Dispatch Clerk* Auto Service Dispatcher* Bus Dispatcher* Crew Dispatcher* Maintenance Dispatcher* School Bus Dispatcher* Taxicab Dispatcher* Tow Truck Dispatcher* Train Dispatcher* Truck Dispatcher,204.60001,96,54,100,very high,medium to high,very high,,
,Dredge operators    * Dredge Deckhand* Dredge Engineer* Dredge Mate* Dredge Operator* Dredger,1.6,99,96,83,very high,very high,high,,
